variable,csv_path,rows,min_date,max_date,target_date,target_reached,lag_days,value_column,latest_value,updated_at_utc
ppt,prism_precipitation_santa_cruz_1987_2023.csv,14507,1987-01-01,2026-09-19,2026-09-20,NO,1,PRCP_mm,0.000000,2026-09-20T13:20:25Z
soil,soil_moisture_data/soil_moisture_big_trees_daily_avg_1987_2023.csv,14502,1987-01-01,2026-09-14,2026-09-20,NO,6,Daily_Avg_Soil_Moisture,0.131409,2026-09-20T13:20:25Z
soil_nwm_soil_m,soil_moisture_data/nwm_soil_moisture_big_trees_daily_1987_present.csv,13181,1987-01-01,2023-02-01,2026-09-20,NO,1327,NWM_SOIL_M,0.470000,2026-09-20T13:20:25Z
soil_nwm_soil_w,soil_moisture_data/nwm_soil_moisture_big_trees_daily_1987_present.csv,13181,1987-01-01,2023-02-01,2026-09-20,NO,1327,NWM_SOIL_W,0.470000,2026-09-20T13:20:25Z
